Open_Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number_of_Trades,Taker_buy_volume,Taker_Buy_Quote_Volume,Ignore
1672459200000,1194.42000000,1197.26000000,1191.66000000,1196.84000000,16420.72500000,1672473599999,19619614.71010500,36496,8116.66750000,9697998.70124900,0
1672473600000,1196.84000000,1200.23000000,1195.55000000,1197.20000000,19335.58740000,1672487999999,23153972.91674400,42621,9807.78680000,11744896.95369300,0
1672488000000,1197.20000000,1208.46000000,1196.00000000,1202.86000000,40840.19180000,1672502399999,49097305.51075200,62200,21755.01920000,26151120.11806200,0
1672502400000,1202.85000000,1205.61000000,1198.90000000,1202.65000000,22617.40180000,1672516799999,27176689.85182200,39080,10992.02100000,13208300.17780300,0
1672516800000,1202.66000000,1203.71000000,1193.08000000,1196.13000000,22899.74480000,1672531199999,27448514.48494400,40100,10764.48270000,12900685.57988500,0
1672531200000,1196.13000000,1196.74000000,1191.71000000,1194.04000000,20292.06020000,1672545599999,24235943.66227800,42698,9315.98320000,11125588.95954800,0
1672545600000,1194.05000000,1195.75000000,1190.57000000,1195.06000000,18654.45940000,1672559999999,22266780.88791700,40182,9478.79930000,11315101.25611000,0
1672560000000,1195.07000000,1197.41000000,1193.98000000,1196.34000000,10749.18510000,1672574399999,12852377.73371200,31262,5393.92110000,6448997.86618600,0
1672574400000,1196.35000000,1198.50000000,1193.54000000,1196.81000000,15490.85730000,1672588799999,18524406.03821900,35644,7358.67820000,8800002.44074100,0
1672588800000,1196.81000000,1204.51000000,1195.88000000,1201.78000000,31016.51510000,1672603199999,37231276.81046200,46087,17219.79490000,20666788.71045700,0
1672603200000,1201.77000000,1204.67000000,1199.36000000,1200.34000000,21558.99140000,1672617599999,25904211.52312000,37278,11288.32400000,13562201.19576300,0
1672617600000,1200.33000000,1203.53000000,1193.00000000,1201.94000000,32154.24780000,1672631999999,38502953.72936400,47332,14939.00700000,17887336.64227900,0
1672632000000,1201.94000000,1220.00000000,1199.87000000,1213.09000000,66008.52220000,1672646399999,79870980.27157200,72579,38382.69400000,46443752.15501200,0
1672646400000,1213.08000000,1224.29000000,1212.74000000,1217.35000000,66284.42630000,1672660799999,80742427.93837800,71855,27447.23350000,33422571.02724100,0
1672660800000,1217.35000000,1220.98000000,1214.04000000,1219.00000000,36928.90830000,1672675199999,44953561.37796800,53136,18893.76580000,23001232.72654300,0
1672675200000,1219.00000000,1220.29000000,1215.74000000,1218.87000000,19161.15080000,1672689599999,23335026.39599000,36337,9284.38900000,11308235.45358800,0
