Open_Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number_of_Trades,Taker_buy_volume,Taker_Buy_Quote_Volume,Ignore
1673078400000,16948.18000000,16954.95000000,16908.07000000,16918.30000000,18936.72265000,1673092799999,320535271.77595350,574231,9310.71199000,157600235.66244170,0
1673092800000,16918.30000000,16947.70000000,16908.00000000,16940.42000000,20650.09476000,1673107199999,349510859.80376690,599581,10222.07106000,173013535.05300210,0
1673107200000,16940.60000000,16946.13000000,16916.00000000,16944.05000000,16073.99982000,1673121599999,272156229.29483010,505703,7939.34977000,134425655.43570130,0
1673121600000,16944.05000000,16951.92000000,16929.46000000,16943.57000000,15442.31542000,1673135999999,261610796.47746960,464662,7661.63351000,129798913.48105880,0
1673136000000,16943.83000000,16955.00000000,16911.00000000,16944.02000000,18295.79671000,1673150399999,309764476.78242380,549947,8944.16601000,151434723.76116950,0
1673150400000,16944.02000000,16957.12000000,16933.26000000,16953.77000000,14667.61069000,1673164799999,248505049.53763410,442565,7178.57521000,121623036.64330450,0
1673164800000,16953.77000000,16967.67000000,16925.05000000,16927.42000000,20434.41029000,1673179199999,346209192.97207750,601731,9924.37609000,168143606.08014080,0
1673179200000,16927.42000000,17019.79000000,16920.37000000,17000.43000000,23086.53831000,1673193599999,391261534.16966740,740846,11881.32290000,201372371.54442620,0
1673193600000,17000.43000000,17022.08000000,16916.10000000,16927.25000000,23557.66783000,1673207999999,399128522.92240170,765578,11248.55056000,190580744.34207300,0
1673208000000,16927.25000000,17176.99000000,16924.41000000,17127.83000000,35113.87312000,1673222399999,597056923.57434100,935425,18023.61173000,306492520.38973730,0
1673222400000,17127.83000000,17252.60000000,17104.66000000,17197.00000000,50799.16414000,1673236799999,872660183.46889360,1251772,25629.14625000,440299182.45308380,0
1673236800000,17197.00000000,17262.56000000,17180.00000000,17198.48000000,33546.34885000,1673251199999,577460321.26607390,818487,16819.90159000,289542987.43642850,0
1673251200000,17198.01000000,17285.48000000,17186.95000000,17238.93000000,38468.19722000,1673265599999,663152771.38680400,982537,19404.82338000,334520046.85467430,0
1673265600000,17239.47000000,17335.35000000,17190.74000000,17268.49000000,50514.03168000,1673279999999,871715196.40043890,1198616,25244.36409000,435659290.32958900,0
1673280000000,17268.49000000,17398.80000000,17268.02000000,17293.69000000,52520.91466000,1673294399999,910585671.08808360,1206215,25056.01195000,434408959.70011060,0
1673294400000,17294.19000000,17313.30000000,17128.00000000,17178.26000000,40362.87068000,1673308799999,694710206.93587530,870040,19594.27791000,337250698.02544620,0
1673308800000,17179.04000000,17235.00000000,17146.34000000,17205.72000000,30946.16910000,1673323199999,532107388.78429190,752000,15371.47305000,264306569.88660360,0
1673323200000,17205.31000000,17233.91000000,17189.15000000,17203.20000000,25989.57305000,1673337599999,447260476.22481210,627958,12764.29711000,219667700.92249030,0
1673337600000,17203.20000000,17286.02000000,17187.73000000,17252.89000000,31083.00421000,1673351999999,536235340.32035730,830688,15253.16631000,263144026.92972950,0
1673352000000,17252.89000000,17375.00000000,17212.14000000,17327.70000000,57523.36810000,1673366399999,993814458.33326040,1300210,27924.42702000,482453734.13093010,0
1673366400000,17327.70000000,17456.07000000,17282.00000000,17432.85000000,43079.81645000,1673380799999,748222010.17283620,1077022,21787.71340000,378424375.54478300,0
1673380800000,17432.85000000,17499.00000000,17403.73000000,17440.66000000,32760.49490000,1673395199999,571607979.89554730,860873,16276.37917000,283999447.87307140,0
1673395200000,17440.64000000,17510.00000000,17366.58000000,17416.14000000,31946.48480000,1673409599999,557129363.95325210,818285,15852.86436000,276470007.02720690,0
1673409600000,17416.49000000,17462.99000000,17388.00000000,17446.65000000,29726.89080000,1673423999999,518004910.61120080,717936,14908.99515000,259794138.45530080,0
1673424000000,17447.02000000,17472.15000000,17408.68000000,17437.75000000,29986.37534000,1673438399999,523046137.58787440,752473,14396.19195000,251114592.64361920,0
1673438400000,17437.75000000,17437.75000000,17315.60000000,17332.43000000,49062.38496000,1673452799999,853608859.89012430,1073851,23770.42828000,413570346.14870190,0
1673452800000,17331.90000000,17571.70000000,17320.42000000,17550.29000000,55789.51498000,1673467199999,973820485.74604510,1052500,28029.82333000,489251089.16584770,0
1673467200000,17549.62000000,18000.00000000,17508.86000000,17943.26000000,65709.95565000,1673481599999,1161356189.47505310,1212419,32986.26623000,583167923.58858770,0
1673481600000,17943.26000000,18385.71000000,17907.25000000,18224.68000000,82494.53271000,1673495999999,1496967287.62964380,1496811,42025.39794000,762651229.12002490,0
1673496000000,18224.68000000,18241.43000000,18075.19000000,18138.22000000,37256.18339000,1673510399999,676716421.77838140,906793,18220.19592000,330943992.69460520,0
1673510400000,18138.21000000,18222.59000000,18071.06000000,18200.80000000,34254.13454000,1673524799999,621951965.84558370,935399,16546.55005000,300447397.06510040,0
1673524800000,18200.80000000,18380.47000000,17892.05000000,18086.62000000,130706.45782000,1673539199999,2372991707.39111190,2199095,64897.86905000,1178263850.26603020,0
1673539200000,18087.28000000,19060.00000000,18054.61000000,18885.35000000,110884.45270000,1673553599999,2066031400.58264740,2094894,56044.82352000,1044200491.49219120,0
1673553600000,18885.35000000,19117.04000000,18762.00000000,18846.62000000,58972.56062000,1673567999999,1113772424.61864150,1278381,29560.49524000,558306837.74490870,0
1673568000000,18846.62000000,18887.00000000,18714.12000000,18876.37000000,41728.30446000,1673582399999,785024578.97426680,1057949,20474.15349000,385172793.88211050,0
1673582400000,18876.37000000,18883.79000000,18778.41000000,18824.25000000,33637.34382000,1673596799999,633318401.09801460,884625,16198.90144000,304989121.65820460,0
1673596800000,18825.00000000,19057.70000000,18810.01000000,18920.95000000,53635.34061000,1673611199999,1014915141.20040250,1415187,26545.74769000,502336643.66967240,0
1673611200000,18920.95000000,19310.91000000,18811.52000000,19261.19000000,84962.31802000,1673625599999,1617777780.08406750,1664634,42284.03589000,805176091.33672550,0
1673625600000,19261.19000000,19406.26000000,19060.15000000,19362.01000000,76088.31369000,1673639999999,1464589232.67109810,1453964,37989.93435000,731269397.41158470,0
1673640000000,19363.43000000,20000.00000000,19315.77000000,19930.01000000,78564.25763000,1673654399999,1546008327.41688450,1545415,39956.12091000,786356842.34675960,0
