Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number_of_Trades,Taker_buy_volume,Taker_Buy_Quote_Volume,Ignore
1683147600000,28518.71000000,29057.62000000,28517.71000000,28923.52000000,5633.43575000,1683151199999,162602466.30560620,120372,3083.77114000,88993004.23668600,0
1683151200000,28923.53000000,29266.66000000,28923.52000000,29107.13000000,4541.42253000,1683154799999,132284499.39751080,95535,2316.89421000,67478478.32620820,0
1683154800000,29107.13000000,29143.47000000,28941.44000000,29026.16000000,2182.21699000,1683158399999,63378222.69026880,47391,900.61188000,26155653.19478440,0
1683158400000,29026.16000000,29104.27000000,28950.98000000,29043.94000000,1804.91666000,1683161999999,52407646.43148620,40310,953.24531000,27679860.00163830,0
1683162000000,29043.93000000,29078.75000000,28975.00000000,29070.67000000,1325.13559000,1683165599999,38475765.80017850,28392,693.62340000,20140449.65078750,0
1683165600000,29070.67000000,29195.94000000,28991.35000000,29060.61000000,1746.59499000,1683169199999,50789628.00863690,37029,896.78513000,26079847.31708780,0
1683169200000,29060.60000000,29100.00000000,29016.78000000,29096.86000000,1146.74487000,1683172799999,33328317.82806090,27838,513.67350000,14929921.82706730,0
1683172800000,29096.85000000,29130.00000000,29064.31000000,29102.33000000,1170.15303000,1683176399999,34049207.54528360,26109,542.73735000,15792229.40348170,0
1683176400000,29102.32000000,29215.90000000,29057.82000000,29203.90000000,1750.90189000,1683179999999,51043610.13712630,36205,958.73040000,27955200.07935470,0
1683180000000,29203.90000000,29237.73000000,29090.56000000,29166.72000000,1440.65079000,1683183599999,41978226.48905160,34459,728.18158000,21216671.20357460,0
1683183600000,29166.72000000,29177.46000000,29038.31000000,29058.19000000,1492.85404000,1683187199999,43435411.76407880,36112,735.97279000,21412163.63905750,0
1683187200000,29058.20000000,29110.45000000,28982.58000000,29089.26000000,1138.34053000,1683190799999,33073409.78442670,32781,535.09008000,15547818.61590720,0
1683190800000,29089.26000000,29109.65000000,29035.26000000,29088.97000000,936.80424000,1683194399999,27231154.00746690,24006,418.76916000,12172925.05243800,0
1683194400000,29088.98000000,29379.83000000,29065.23000000,29243.62000000,3163.68955000,1683197999999,92511432.98829050,66677,1682.02009000,49184756.98872470,0
1683198000000,29243.62000000,29264.48000000,29111.06000000,29154.66000000,1563.34880000,1683201599999,45632629.50434780,37216,617.56193000,18025397.79015610,0
1683201600000,29154.65000000,29232.87000000,28982.91000000,29054.84000000,2830.09226000,1683205199999,82385392.24327100,55633,1230.41567000,35822709.73009940,0
1683205200000,29054.85000000,29086.33000000,28663.64000000,28761.51000000,6069.57723000,1683208799999,175007067.46235830,101665,2933.94613000,84591868.86580750,0
